article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,event_type
"4 provider, payer splits on July 1",2025-06-30T15:42:05-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-provider-payer-splits-on-july-1,1,Active Exit,Brown University Health,UnitedHealthcare,Medicare Advantage,,2025-07-01,RI,,Mutual agreement to go out of network,,"Brown University Health and UnitedHealthcare mutually agreed to go out of network for Medicare Advantage plans effective July 1, 2025.",exit,provider_payer_exit
"4 provider, payer splits on July 1",2025-06-30T15:42:05-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-provider-payer-splits-on-july-1,2,Active Exit,MUSC Health,Humana,Medicare Advantage,,,SC,,Contract expired,,"MUSC Health's contract with Humana Medicare Advantage and Humana Medicaid expired on June 30, 2025.",exit,provider_payer_exit
"4 provider, payer splits on July 1",2025-06-30T15:42:05-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-provider-payer-splits-on-july-1,3,Active Exit,Broward Health,Florida Blue,,,2025-07-01,FL,Fort Lauderdale,Went out of network,,"Broward Health went out of network with Florida Blue effective July 1, 2025.",exit,provider_payer_exit
"4 provider, payer splits on July 1",2025-06-30T15:42:05-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/5-provider-payer-splits-on-july-1,4,Active Exit,First Physicians Group,Blue Cross Blue Shield,Medicare Advantage,,2025-07-01,FL,Sarasota,Went out of network with all plans,,"Primary care doctors with First Physicians Group went out of network with all Blue Cross Blue Shield Medicare Advantage plans effective July 1, 2025.",exit,provider_payer_exit
"UnitedHealthcare Medicare Advantage, Brown U Health to split",2025-06-16T15:11:00-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-brown-u-health-face-medicare-advantage-split,1,Active Exit,Brown University Health,UnitedHealthcare,Medicare Advantage,D-SNP,2025-07-01,RI,,Mutually agreed to go out of network,Hospitals will be out of network for UnitedHealth’s MA plans,"UnitedHealthcare and Brown University Health have mutually agreed to go out of network for Medicare Advantage plans effective July 1, 2025. Brown’s hospitals in Rhode Island will no longer be in network for UnitedHealth’s MA plans, including D-SNP and group retiree plans.",exit,provider_payer_exit
"Blue Shield of California, University of California Health face July split",2025-06-12T08:44:38-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/blue-shield-of-california-university-of-california-health-face-july-split,1,Planned Exit,University of California Health,Blue Shield of California,Commercial,ACA,2025-07-10,,"San Francisco, Oakland",Contract not renewed,"Affected commercial, ACA, Medicare Advantage and state employee retiree plans",Blue Shield of California and University of California Health will go out of network on July 10 due to a lack of a new contract. This split will impact various plans across multiple facilities.,exit,provider_payer_exit
Mississippi system splits with UnitedHealthcare Medicare Advantage plans,2025-06-11T16:49:40-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/mississippi-system-splits-with-unitedhealthcare-medicare-advantage-plans,1,Active Exit,North Mississippi Health Services,UnitedHealthcare,Medicare Advantage,,2025-06-01,MS,Tupelo,Delayed and denied claims,"Approximately 17,000 United Healthcare MA members in NMHS’ area","North Mississippi Health Services is out-of-network with UnitedHealthcare Medicare Advantage plans as of June 1, due to issues with delayed and denied claims. This split affects a significant number of UnitedHealthcare MA members in the Tupelo area.",exit,provider_payer_exit
"Cigna, Allegheny Health Network face July 1 split",2025-06-10T10:11:30-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-allegheny-health-network-face-july-1-split-2,1,Planned Exit,Allegheny Health Network,Cigna,Commercial,,2025-07-01,,Pittsburgh,Contract dispute,"About 20,000 Cigna members have used an AHN provider within the last year.","Cigna and Allegheny Health Network will be out of network on July 1 without a new contract in place due to a contract dispute. This affects commercial members, impacting around 20,000 Cigna members who have utilized AHN providers.",exit,provider_payer_exit
"Aetna, UW Medicine go out of network",2025-06-02T10:10:26-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-uw-medicine-to-split-on-june-1,1,Active Exit,UW Medicine,Aetna,Medicare Advantage | Commercial,,2025-06-01,,Seattle,No contract agreement was reached.,"Approximately 53,000 people notified.","Aetna and UW Medicine facilities and physicians went out of network on June 1 due to a lack of contract agreement. This affects Aetna’s commercial and Medicare Advantage members, particularly in Seattle, with about 53,000 individuals notified.",exit,provider_payer_exit
"UnitedHealthcare, Bon Secours face network split in South Carolina",2025-05-23T10:55:57-05:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-bon-secours-face-network-split-in-south-carolina,1,Planned Exit,Bon Secours,UnitedHealthcare,"Commercial, ACA, Medicare Advantage",,2025-07-01,SC,,Network split due to disagreement over reimbursement rates.,"Potentially affects multiple plans and facilities, with some going out of network later in 2025 or 2026.","Bon Secours providers and facilities in South Carolina are facing a network split with UnitedHealthcare. If an agreement is not reached before July 1, they will be out-of-network across various plans. The disagreement stems from inadequate reimbursement rates.",exit,provider_payer_exit
"Cigna, Bon Secours to go out of network at 8 Virginia hospitals",2025-02-24T22:23:34-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-bon-secours-to-go-out-of-network-at-8-virginia-hospitals,1,Planned Exit,Bon Secours Mercy Health,Cigna,Multiple,,2025-04-01,VA,"Richmond, Mechanicsville, Kilmarnock, Midlothian, Newport News, Portsmouth, Franklin",Bon Secours Mercy Health is choosing to leave the network due to significant rate increases demanded by Cigna.,OAP and PPO members will be affected.,"Bon Secours Mercy Health plans to exit Cigna's network on April 1, 2025, affecting multiple hospitals in Virginia. The exit is due to disagreements over rate increases that Bon Secours deems necessary for providing quality care.",exit,provider_payer_exit
"Aetna, UTMB Health back in network after 4-year split",2025-02-24T16:23:43-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-utmb-health-back-in-network-after-4-year-split,1,Resolved,UTMB Health,Aetna,Unknown,,2025-02-20,TX,southeast Texas,Contract agreement reached after a split.,"16,000 UTMB patients were in-network with Aetna.","UTMB Health and Aetna have reached a multi-year contract agreement effective February 20, 2025, resolving a four-year split. This allows 16,000 UTMB patients to receive care from UTMB physicians and facilities again in southeast Texas.",exit,provider_payer_exit
"Phoenix Children's, Arizona Blue back in-network after 3 month split",2025-02-10T21:54:03-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/phoenix-childrens-arizona-blue-back-in-network-after-3-month-split,1,Resolved,Phoenix Children's,Arizona Blue,,,2025-02-08,,,Agreement reached after a split.,Claims processed as in-network for AZ Blue members.,"Phoenix Children's and Arizona Blue split on October 31 but reached an agreement on February 8, allowing Phoenix Children's to provide care for AZ Blue members again. Claims processed during the out-of-network period will be treated as in-network.",exit,provider_payer_exit
"UnitedHealthcare, OHSU at odds over new contract",2025-01-31T16:03:59-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/unitedhealthcare-ohsu-at-odds-over-new-contract,1,Planned Exit,OHSU,UnitedHealthcare,Medicare Advantage,,,OR,Portland metro area,OHSU is asking for a 36% price increase for its commercial plans and a 15% increase for Medicare Advantage plans.,"About 74,000 patients would be affected by the split.","OHSU and UnitedHealthcare are at odds over contract negotiations, with OHSU proposing significant price increases. This disagreement could lead to a split affecting approximately 74,000 patients in the Portland metro area.",exit,provider_payer_exit
Cigna Medicare Advantage split with Delaware system triggers special enrollment period,2025-01-09T22:24:56-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-medicare-advantage-split-with-delaware-system-triggers-special-enrollment-period,1,Active Exit,Bayhealth,Cigna,Medicare Advantage,,2025-01-01,DE,,Financial sustainability and challenges with denied claims and reimbursement.,Cigna members are eligible for a special election period to choose a new plan.,"As of January 1, 2025, Bayhealth will no longer participate in the networks of Cigna Medicare Advantage plans due to financial sustainability concerns. This decision allows affected members to utilize a special election period to select alternative plans.",exit,provider_payer_exit
Cigna Medicare Advantage split with Delaware system triggers special enrollment period,2025-01-09T22:24:56-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/cigna-medicare-advantage-split-with-delaware-system-triggers-special-enrollment-period,2,Active Exit,Bayhealth,Humana,Medicare Advantage,,2025-01-01,DE,,Financial sustainability and challenges with denied claims and reimbursement.,Humana members are eligible for a special election period to choose a new plan.,"As of January 1, 2025, Bayhealth will no longer participate in the networks of Humana Medicare Advantage plans due to financial sustainability concerns. This decision allows affected members to utilize a special election period to select alternative plans.",exit,provider_payer_exit
"Scripps, Anthem network split affects 125,000",2025-01-03T19:30:27-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/scripps-anthem-network-split-affects-125-000,1,Active Exit,Scripps,Anthem,Commercial | ACA,,2024-01-01,CA,San Diego,Negotiation failure over pricing,"Up to 125,000 people impacted","Scripps has stopped accepting all Medicare Advantage plans from Anthem as of January 1, 2024, due to a failure to agree on pricing. This split affects approximately 125,000 Anthem members in San Diego.",exit,provider_payer_exit
"Aetna, Providence hospitals in Oregon split",2025-01-03T15:35:24-06:00,contracting,Beckers Payer,https://www.beckerspayer.com/contracting/aetna-providence-hospitals-in-oregon-split,1,Active Exit,Providence,Aetna,Unknown,,2025-01-01,OR,Oregon,Aetna has not been willing to agree to price increases requested by Providence.,"Around 9,000 Providence patients in Oregon have Aetna coverage.","As of January 1, most of Providence's Oregon locations are out of network with Aetna due to a contract dispute over price increases. This affects approximately 9,000 patients in Oregon.",exit,provider_payer_exit
