article_title,article_published_dt,article_section,article_source,link,event_index,status,provider,payer,market,program,effective_date,states,geography_detail,reason,member_impact,summary,record_type,closure_type
Why hospitals could be facing millions of newly uninsured patients this year,2023-02-28T22:26:36-06:00,policy_updates,Beckers Payer,https://www.beckerspayer.com/policy-updates/why-hospitals-could-be-facing-millions-of-newly-uninsured-patients-this-year,1,Planned Closure,,,,,,KY,Morehead,Potential loss of reimbursement due to Medicaid redeterminations.,"More than 3,000 people expected to lose coverage in the area.","St. Claire HealthCare in Morehead, KY, is facing a dire situation due to potential loss of Medicaid funding, which could lead to significant operational challenges and planned closures.",closure,hospital_closure
Washington hospital to close pediatric rehab clinic,2026-03-12T14:21:09-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/washington-hospital-to-close-pediatric-rehab-clinic/,1,Planned Closure,St. Michael Medical Center,,,,2026-04-24,WA,,Closure necessary to adapt to ongoing financial pressures.,,St. Michael Medical Center plans to close its pediatric outpatient rehabilitation clinic on April 24 due to financial pressures. The hospital is working with affected patients to ensure a smooth transfer of care to alternative providers.,closure,service_line_closure
New Jersey system partners with health center ahead of ED closure,2026-03-12T13:38:47-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/new-jersey-system-partners-with-health-center-ahead-of-ed-closure/,1,Planned Closure,Hudson Regional Health,,,,2026-03-14,NJ,"Jersey City, N.J.",Closure of emergency department services at Heights University Hospital.,Patients will be transported to other care facilities.,"Hudson Regional Health plans to close the emergency department at Heights University Hospital on March 14, 2026. This follows the hospital's closure in mid-November 2025. The closure is part of a partnership with Alliance Community Healthcare to provide alternative healthcare services in the region.",closure,emergency_department_closure
Oregon lawmakers greenlight $44M lifeline for hospital,2026-03-12T10:15:50-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/oregon-lawmakers-greenlight-44m-lifeline-for-hospital/,1,Planned Closure,Bay Area Hospital,,,,,OR,Coos Bay,"The hospital defaulted on a $44 million loan, which could have led to a reduction in capacity by more than 50 beds.",,"Bay Area Hospital in Coos Bay, Oregon, may face a planned closure due to financial difficulties, specifically a default on a $44 million loan. This situation could have resulted in a significant reduction in its licensed beds, impacting its ability to serve as a regional referral center.",closure,facility_closure
Adventist HealthCare to close freestanding ER,2026-03-09T15:35:31-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/adventist-healthcare-to-close-freestanding-er/,1,Planned Closure,Adventist HealthCare Germantown Emergency Center,,,,2026-07-01,MD,"Germantown, MD",Declining volume at the facility.,Approximately 30 employees affected.,"Adventist HealthCare plans to close its Germantown Emergency Center on July 1, 2026, due to a one-third decrease in patient volume in recent years. The facility, which opened in 2006, is one of Maryland's seven freestanding emergency rooms.",closure,emergency_department_closure
"Integris Health to close childcare centers, citing $1M annual losses",2026-03-09T11:06:54-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/integris-to-close-childcare-centers-citing-1m-annual-losses/,1,Planned Closure,Integris Health Baptist Medical Center,,,,2026-08-01,OK,Oklahoma City,Financial losses exceeding $1 million annually.,,"Integris Health will close its Children’s Place childcare centers and Fun & Fit programs at two hospitals in August due to financial losses. The closures affect Integris Health Baptist Medical Center and Integris Health Southwest Medical Center, both located in Oklahoma City.",closure,other_closure
"Integris Health to close childcare centers, citing $1M annual losses",2026-03-09T11:06:54-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/integris-to-close-childcare-centers-citing-1m-annual-losses/,2,Planned Closure,Integris Health Southwest Medical Center,,,,2026-08-01,OK,Oklahoma City,Financial losses exceeding $1 million annually.,,"Integris Health will close its Children’s Place childcare centers and Fun & Fit programs at two hospitals in August due to financial losses. The closures affect Integris Health Baptist Medical Center and Integris Health Southwest Medical Center, both located in Oklahoma City.",closure,other_closure
California psych staffing rules could cost hospitals $145.2M: 6 things to know,2026-03-09T09:36:39-05:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/california-psych-staffing-rules-could-cost-hospitals-145-2m-6-things-to-know/,1,Planned Closure,,,,,2026-06-01,CA,,Inability to meet staffing requirements due to proposed regulations.,Potential loss of beds in hospitals unable to comply with staffing ratios.,"Due to proposed nurse-to-patient ratio regulations, some hospitals may need to close beds if they cannot hire the required staff by June 1, 2026. This could significantly impact inpatient capacity across California.",closure,unit_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,1,Planned Closure,Catholic Medical Center,,,,2026-03-31,NH,"Manchester, N.H.",Financial reasons and focus on more in-demand services.,,Catholic Medical Center is planning to end outpatient behavioral health services by the end of March due to financial reasons and a focus on more in-demand services.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,2,Planned Closure,Hudson Regional Health,,,,2026-03-14,NJ,"Jersey City, N.J.",Lack of alternative funding.,$30 million loss projected.,"Hudson Regional Health plans to close the emergency department at a shuttered hospital site in Jersey City on March 14 unless alternative funding is secured, with a projected loss of $30 million this year.",closure,emergency_department_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,3,Planned Closure,Fairfield Medical Center,,,,Spring 2026,OH,"Lancaster, Ohio",Cost-reduction strategies ahead of acquisition.,,Fairfield Medical Center will close an ambulatory surgery center and sleep medicine services this spring as part of cost-reduction strategies ahead of its planned acquisition by OhioHealth.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,4,Active Closure,Trinity Health,,,,,ND,"Minot, N.D.",Thorough review of current operations.,,Trinity Health is suspending home health and outpatient hospice services after a thorough review of its current operations.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,5,Active Closure,Ephraim McDowell Fort Logan Hospital,,,,2026-02-16,KY,"Stanford, Ky.",Relocation of services.,,Ephraim McDowell Fort Logan Hospital relocated its inpatient labor and delivery services to Ephraim McDowell Regional Medical Center on February 16.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,6,Active Closure,LifeBridge Health,,,,2026-04-06,MD,"Ellicott City, Md.",Low procedure volumes.,23 employees affected.,"LifeBridge Health will shutter its Ellicott City Ambulatory Surgery Center due to low procedure volumes, affecting 23 employees, with closure taking effect between March 7 and April 6.",closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,7,Planned Closure,Johnson Memorial Health,,,,,IN,"Franklin, Ind.",Decreasing federal and state insurance reimbursement rates.,,Johnson Memorial Health plans to phase out obstetrics services and the maternity care center on its Franklin campus due to decreasing federal and state insurance reimbursement rates.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,8,Planned Closure,Providence Mission Hospital Laguna Beach,,,,,CA,"Laguna Beach, Cal.",Low inpatient demand and high renovation costs.,,Providence Mission Hospital Laguna Beach began a multiyear planning process to phase out acute care and emergency services due to low inpatient demand and high renovation costs.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,9,Active Closure,Teton Valley Health Care,,,,,ID,"Driggs, Idaho",Financial pressures.,26 employees laid off.,"Teton Valley Health Care will close its infusion clinic amid financial pressures, with a closure date not set yet, and has already laid off 26 employees.",closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,10,Active Closure,Sweetwater Hospital Association,,,,2026-02-28,TN,"Sweetwater, Tenn.",Ongoing challenges maintaining specialty provider coverage.,,Sweetwater Hospital Association closed its labor and delivery department on February 28 due to ongoing challenges such as maintaining specialty provider coverage.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,11,Active Closure,MercyOne,,,,2026-02-27,IA,"Ottumwa, Iowa",,,MercyOne closed its MercyOne Ottumwa Family and Internal Medicine location on February 27.,closure,service_line_closure
16 hospitals closing departments or ending services,2026-03-06T13:05:57-06:00,finance,Beckers Hospital Review,https://www.beckershospitalreview.com/finance/16-hospitals-closing-departments-or-ending-services/,12,Active Closure,CHI Health St. Francis,,,,2026-03-10,NE,"Grand Island, Neb.",Broader changes in skilled nursing care delivery.,,"CHI Health St. Francis will close its skilled nursing facility on March 10, reflecting broader changes in how skilled nursing care is delivered.",closure,facility_closure
